SampleID 	Location	Sample_Name	Project_File	Unique_ID	Worm	PGM_Run	Set	Triplicate	Cage	Timepoint	SampleType	Diet	samples	type	value
Sample1	A11	Worms_09	PGM073_WORMS_set1	PGM073_BactFT_A11	9	PGM073	1	A	2	Day05	Mealworm	Apple_Slices	Sample1	Chao1	47
Sample10	E10	Worms_05	PGM073_WORMS_set1	PGM073_BactFT_E10	5	PGM073	1	A	1	Day12	Mealworm	Rice_Bran	Sample10	Chao1	15
Sample11	F10	Worms_06	PGM073_WORMS_set1	PGM073_BactFT_F10	6	PGM073	1	A	1	Day12	Feces	Rice_Bran	Sample11	Chao1	24
Sample12	F11	Worms_14	PGM073_WORMS_set1	PGM073_BactFT_F11	14	PGM073	1	A	1	Day0	Mealworm	Rice_Bran	Sample12	Chao1	27
Sample13	G10	Worms_07	PGM073_WORMS_set1	PGM073_BactFT_G10	7	PGM073	1	A	2	Day0	Mealworm	Rice_Bran	Sample13	Chao1	46
Sample14	H10	Worms_08	PGM073_WORMS_set1	PGM073_BactFT_H10	8	PGM073	1	A	2	Day0	Feces	Rice_Bran	Sample14	Chao1	46
Sample2	B11	Worms_10	PGM073_WORMS_set1	PGM073_BactFT_B11	10	PGM073	1	A	2	Day08	Mealworm	Apple_Slices	Sample2	Chao1	47
Sample3	C11	Worms_11	PGM073_WORMS_set1	PGM073_BactFT_C11	11	PGM073	1	A	2	Day12	Mealworm	Apple_Slices	Sample3	Chao1	55
Sample4	D11	Worms_12	PGM073_WORMS_set1	PGM073_BactFT_D11	12	PGM073	1	A	2	Day12	Feces	Apple_Slices	Sample4	Chao1	77
Sample5	E11	Worms_13	PGM073_WORMS_set1	PGM073_BactFT_E11	13	PGM073	1	A	2	Day12	Mealworm	Apple_Slices	Sample5	Chao1	74
Sample6	A10	Worms_01	PGM073_WORMS_set1	PGM073_BactFT_A10	1	PGM073	1	A	1	Day0	Mealworm	Rice_Bran	Sample6	Chao1	20
Sample7	B10	Worms_02	PGM073_WORMS_set1	PGM073_BactFT_B10	2	PGM073	1	A	1	Day0	Feces	Rice_Bran	Sample7	Chao1	9
Sample8	C10	Worms_03	PGM073_WORMS_set1	PGM073_BactFT_C10	3	PGM073	1	A	1	Day05	Mealworm	Rice_Bran	Sample8	Chao1	18
Sample9	D10	Worms_04	PGM073_WORMS_set1	PGM073_BactFT_D10	4	PGM073	1	A	1	Day08	Mealworm	Rice_Bran	Sample9	Chao1	18
Sample15	A10	Worms_09b	PGM074_Worms_set2	PGM074_BactFIT2_A10	9	PGM074	2	B	2	Day05	Mealworm	Apple_Slices	Sample15	Chao1	27
Sample16	B10	Worms_10b	PGM074_Worms_set2	PGM074_BactFIT2_B10	10	PGM074	2	B	2	Day08	Mealworm	Apple_Slices	Sample16	Chao1	24
Sample17	C10	Worms_11b	PGM074_Worms_set2	PGM074_BactFIT2_C10	11	PGM074	2	B	2	Day12	Mealworm	Apple_Slices	Sample17	Chao1	30
Sample18	C12	Worms_11d	PGM074_Worms_set2	PGM074_BactFT_C12	11	PGM074	2	D	2	Day12	Mealworm	Apple_Slices	Sample18	Chao1	28
Sample19	D10	Worms_12b	PGM074_Worms_set2	PGM074_BactFIT2_D10	12	PGM074	2	B	2	Day12	Feces	Apple_Slices	Sample19	Chao1	39
Sample20	D12	Worms_12d	PGM074_Worms_set2	PGM074_BactFT_D12	12	PGM074	2	D	2	Day12	Feces	Apple_Slices	Sample20	Chao1	31
